utc,X,Y,Z,lat,lon,h,E,N,U
1676595090999,-2698886.34045083,-4293204.41264044,3855504.16640768,37.4311796326306,-122.155171670226,4.26103967335075,-2.00646445787197,8.7271067963547,-12.2389666305754
1676595091999,-2698888.44630781,-4293210.02034689,3855503.69642032,37.4311441325034,-122.155158093163,8.63530673645437,-0.80480584428111,4.78709934595875,-7.86469511666376
1676595092999,-2698892.47297673,-4293214.49875147,3855502.86814053,37.4311057063408,-122.155169680398,12.8443757481873,-1.83035584476765,0.522337969492128,-3.65562453507567
1676595093999,-2698895.67740989,-4293217.37902449,3855505.35651156,37.4311008163451,-122.155183012504,17.6474424814805,-3.01034033272368,-0.0203825880142983,1.14744177232691
1676595094999,-2698890.59884437,-4293213.31213384,3855505.93172727,37.4311385897994,-122.155158888857,13.1166556477547,-0.875230749080292,4.17194034799691,-3.38334578012626
1676595095999,-2698898.74132301,-4293223.06416018,3855503.13538797,37.4310496359217,-122.155178134116,21.4143140856177,-2.57857275562154,-5.70069898201608,4.9143110095644
1676595096999,-2698897.59648253,-4293221.70182617,3855504.28018213,37.4310674798089,-122.15517537524,20.7104205265641,-2.33439216134567,-3.72027496968865,4.21041901187322
1676595097999,-2698884.79961855,-4293211.14745781,3855500.18083583,37.4311243821332,-122.155116433172,5.71506950352341,2.88238178821904,2.59508618038097,-10.7849316772473
1676595098999,-2698893.060676,-4293210.51122655,3855503.3767797,37.4311261204024,-122.155199280047,10.7211732398719,-4.45012339663404,2.78801233310546,-5.77882892215648
1676595099999,-2698893.30480896,-4293210.70101423,3855503.87616583,37.4311281019296,-122.155200474053,11.2554704416543,-4.55580120637736,3.0079342691017,-5.24453189645367
1676595100999,-2698886.7156568,-4293213.76282427,3855504.15013889,37.4311350713412,-122.155119034162,10.6956605892628,2.65217846743019,3.78143979287882,-5.80434108631161
1676595101999,-2698881.03324434,-4293206.10796672,3855496.61857669,37.4311332375451,-122.15511070967,-1.4298013728112,3.38894574769389,3.57790767722794,-17.9298032792637
1676595102999,-2698887.13930817,-4293207.19200305,3855497.09756691,37.4311138416349,-122.155162598643,2.17066867742687,-1.20357020359527,1.42523892091625,-14.3293315970683
1676595103999,-2698883.97793191,-4293202.76190179,3855488.65644287,37.431083200793,-122.155158997881,-7.27424427587539,-0.884877967333454,-1.97545584104414,-23.7742446440853
1676595104999,-2698894.50805135,-4293205.01772413,3855488.59755551,37.4310416290308,-122.155246158806,-1.34321410302073,-8.5992032360107,-6.5893250661435,-17.8432233065467
1676595105999,-2698898.65031418,-4293201.65796523,3855491.92829786,37.4310689639244,-122.155305984719,0.173156753182411,-13.8941943062307,-3.55553605282195,-16.3268593564115
1676595106999,-2698899.98357311,-4293201.28522127,3855497.61522867,37.4311074951859,-122.155320979393,3.94259229209274,-15.2213241519452,0.720887348200314,-12.5574258893275
1676595107999,-2698902.44412654,-4293198.56039451,3855496.98366859,37.4311084382077,-122.155360900937,2.76677412539721,-18.754643565592,0.825556424746517,-13.73325346783
1676595108999,-2698902.27325709,-4293201.09659482,3855491.48682706,37.431057848401,-122.15534401557,1.05857692100108,-17.2601831769571,-4.78919504310174,-15.4414482083308
1676595109999,-2698907.1131135,-4293217.32682472,3855504.28651377,37.4310600718313,-122.15529271413,21.7950004590675,-12.7197032694895,-4.54244892087728,5.29498616911747
1676595110999,-2698907.97550781,-4293213.55987009,3855508.01015431,37.4311016652686,-122.155323615026,21.8902781549841,-15.454639873501,0.0738498984024711,5.39025945405462
1676595111999,-2698899.5351915,-4293205.67840476,3855498.72022954,37.431096339603,-122.155290272947,7.37816746160388,-12.5036072726732,-0.517228835353843,-9.12184480032155
1676595112999,-2698904.59595514,-4293201.55301863,3855500.44765641,37.4311130756223,-122.155363488656,7.7935045780614,-18.9836876669087,1.34024511721155,-8.70652378011558
1676595113999,-2698896.97622951,-4293194.7663308,3855489.79904766,37.4310905612382,-122.155331412711,-6.46162755601108,-16.1447197737256,-1.15853689492209,-22.961648069552
1676595114999,-2698904.02502498,-4293201.61552131,3855501.10407476,37.4311191464571,-122.155357651595,7.99321008566767,-18.4670676707092,2.01402093332169,-8.50681693378993
1676595115999,-2698902.27710629,-4293199.17494887,3855498.31091216,37.431115571899,-122.155355607812,3.91604695655406,-18.2861682817101,1.61729402450329,-12.5839794294257
1676595116999,-2698904.55917738,-4293202.97824189,3855506.50134212,37.4311498879617,-122.155354566576,12.4155830480158,-18.1940278810335,5.42589703454935,-4.0844451851503
1676595117999,-2698903.96403936,-4293197.40225044,3855506.68755077,37.431178807392,-122.155382403888,8.52862559072673,-20.6577971799802,8.63554814725061,-7.97141368557032
1676595118999,-2698901.26370078,-4293201.74782666,3855495.37261343,37.4310855737022,-122.155330442641,3.43152896128595,-16.0588881542816,-1.71208453894624,-13.0684914609121
1676595119999,-2698906.41300596,-4293202.61138674,3855497.13099511,37.4310791423986,-122.155374505312,7.25706506986171,-19.9587431117534,-2.42586094509219,-9.24296658354035
