utc,X,Y,Z,lat,lon,h,E,N,U
1676595100999,-2698880.57172675,-4293211.43074839,3855503.44083821,37.431158716184,-122.155074287772,6.10017419792712,6.61252857101409,6.40568215720276,-10.3998324521622
1676595101999,-2698882.66892921,-4293210.46472241,3855505.52577475,37.431171999856,-122.155100157527,7.60429837368429,4.32288363668249,7.87998211130726,-8.89570797326406
1676595102999,-2698885.43426464,-4293212.67606076,3855510.13743585,37.4311866828267,-122.155113311999,13.0626324890181,3.15862749345292,9.50959207600983,-3.43737540351297
1676595103999,-2698891.79757343,-4293214.72982609,3855502.91007985,37.4311069036075,-122.155161830332,12.7397726411,-1.13557154889349,0.655217638017172,-3.76022749445337
1676595104999,-2698895.98767057,-4293205.25576608,3855496.88465557,37.4310955056676,-122.155258880664,4.47909304779023,-9.72517453528654,-0.609787301666943,-12.0209143873573
1676595105999,-2698898.97172972,-4293208.45165436,3855505.4277329,37.4311331150075,-122.15526820685,13.0813011247665,-10.550613401368,3.56432186481249,-3.41870859051991
NaN,-2698899.11437824,-4293198.07351519,3855495.48563503,37.4311096824561,-122.155331978056,0.121704942546785,-16.1947690725417,0.963644546399733,-16.3783156652212
1676595107999,-2698904.4506184,-4293192.40819073,3855502.25949751,37.4311688617084,-122.155417089058,2.68546529486775,-23.7276469496612,7.53171885074001,-13.8145832472703
