utc,X,Y,Z,lat,lon,h,E,N,U
1676595162999,-2698879.37339893,-4293231.99683827,3855506.07308914,37.431085689302,-122.15493915656,21.0198290478438,19.3691624669667,-2.47615501483428,4.51979919323551
1676595163999,-2698882.78757485,-4293224.62169567,3855508.9479883,37.4311305018124,-122.15501616315,19.2519437531009,12.5535341143103,2.49739730407745,2.75193092594706
1676595164999,-2698892.01642511,-4293226.56806498,3855504.32757203,37.4310615208533,-122.155092737546,21.652442603372,5.77618228927845,-5.15853800759219,5.15243789960978
1676595165999,-2698895.25388907,-4293215.76027426,3855496.8564423,37.4310487394304,-122.155188695285,11.2138007860631,-2.71674282679815,-6.57708926647779,-5.28620319288978
1676595166999,-2698904.00493505,-4293200.47090324,3855490.10157657,37.4310457908719,-122.155364342351,0.527824870310724,-18.2626804721747,-6.90430663515784,-15.9722049903069
1676595167999,-2698904.69825992,-4293209.24074805,3855498.11421877,37.4310604387665,-122.155318238735,11.5867601279169,-14.1822233609544,-5.27861621733543,-4.91325781026164
1676595168999,-2698907.63475566,-4293210.11805731,3855499.00685046,37.4310541990072,-122.155341052148,13.9601412294433,-16.2013737618243,-5.97114032260403,-2.53988212469789
