PRN,Toc,af0,af1,af2,IODE,Crs,Delta_n,M0,Cuc,e,Cus,Asqrt,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_DOT,IDOT,codeL2,GPS_Week,L2Pdata,accuracy,health,TGD,IODC,ttx,Fit_interval
32,410418,-0.000398100353777,-1.15960574476e-11,0,22,-32.4375,4.45589989183e-09,1.2727087684,-1.68569386005e-06,0.00663129833993,1.07027590275e-05,5153.71198845,410400,-1.43423676491e-07,-0.0685554279516,5.21540641785e-08,0.959713700271,170.40625,-2.2555901537,-7.92783022595e-09,4.98235039203e-10,1,2249,0,2,0,4.65661287308e-10,22,403218,4
18,412194,-0.000143368262798,-1.5916157281e-11,0,149,9.125,4.26267755763e-09,-1.25656827181,3.632158041e-07,0.00297140271869,9.98377799988e-07,5153.69423294,412176,-7.45058059692e-09,-2.13596575509,-8.94069671631e-08,0.973251026303,366.875,-3.11246740731,-8.22855703814e-09,4.60733477113e-11,1,2249,0,2,0,-8.38190317154e-09,405,405018,4
28,415794,1.50497071445e-05,1.50066625793e-11,0,208,13.21875,4.96484966306e-09,-3.03512738304,5.21540641785e-07,0.00102294469252,6.15045428276e-06,5153.61419868,415776,7.63684511185e-08,0.951550005889,4.842877388e-08,0.961502282932,258.5625,1.6806158081,-8.13319592311e-09,1.69649923743e-10,1,2249,0,2,63,-1.39698386192e-09,208,408648,4
2,417602,-0.000620390288532,2.6147972676e-12,0,1,38.90625,4.53126017375e-09,-1.58439591169,2.30967998505e-06,0.0200144903501,8.08387994766e-07,5153.68772697,417584,-2.62632966042e-07,-2.23526957204,5.17815351486e-07,0.967101126432,370.3125,-1.32640748645,-8.48428197583e-09,-7.14315468392e-13,1,2249,0,2,0,-1.76951289177e-08,1,411918,4
8,417602,-0.000108818057924,-1.81898940355e-12,0,25,120.28125,4.35410993758e-09,1.64054501021,6.55464828014e-06,0.00833297159988,8.08015465736e-06,5153.66670799,417584,-1.86264514923e-08,3.05615061742,1.75088644028e-07,0.96038855901,223.59375,0.215395487835,-8.02854870699e-09,-1.56435087578e-10,1,2249,0,2,0,5.12227416039e-09,25,410482,4
13,417602,0.00047717243433,6.13908923697e-12,0,9,-32.53125,4.26374903083e-09,1.17438483153,-1.71177089214e-06,0.00676551868673,9.97819006443e-06,5153.66817284,417584,-5.58793544769e-08,0.0772584051398,1.06170773506e-07,0.969926958974,191.375,0.934556799219,-7.79103881375e-09,5.66452166435e-10,1,2249,0,2,0,-1.11758708954e-08,9,410484,4
22,417602,0.000428394414485,7.61701812735e-12,0,6,-34.375,4.35160983345e-09,1.38086463828,-1.80490314961e-06,0.0139401613269,1.0484829545e-05,5153.60077095,417584,-3.24100255966e-07,0.0229751854887,-2.45869159698e-07,0.962753992214,179.5,-1.8272196506,-7.92068707127e-09,5.82881422208e-10,1,2249,0,2,63,-7.91624188423e-09,6,411036,4
24,417602,-7.65407457948e-05,-1.5916157281e-11,0,0,15.5625,5.67987944692e-09,-0.310976542541,9.49949026108e-07,0.0137266900856,6.25848770142e-06,5153.64983559,417584,2.421438694e-08,0.901050133772,1.71363353729e-07,0.933946623403,248.09375,0.885477382521,-8.64821737582e-09,2.2215211067e-10,1,2249,0,2,0,2.32830643654e-09,0,411198,4
1,417618,0.000211805105209,-4.2064129957e-12,0,67,-2.78125,4.16767360033e-09,-0.587793800177,-3.72529029846e-09,0.0123618399957,1.2032687664e-06,5153.64809418,417600,-7.45058059692e-09,-2.13845617416,1.58324837685e-07,0.989378883282,368.125,0.938402004782,-8.35391940285e-09,-3.60729311538e-11,1,2249,0,2,0,4.65661287308e-09,67,415879,4
2,417618,-0.000620389357209,2.6147972676e-12,0,149,38.90625,4.53197448921e-09,-1.58206213019,2.30967998505e-06,0.0200144951232,8.08387994766e-07,5153.68772697,417600,-2.64495611191e-07,-2.23526971248,5.17815351486e-07,0.967101113266,370.28125,-1.32640750254,-8.48428197583e-09,-1.07147320259e-12,1,2249,0,2.8,0,-1.76951289177e-08,149,410418,4
