PRN,Toc,af0,af1,af2,IODE,Crs,Delta_n,M0,Cuc,e,Cus,Asqrt,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_DOT,IDOT,codeL2,GPS_Week,L2Pdata,accuracy,health,TGD,IODC,ttx,Fit_interval
1,432018,0.000211744569242,-4.2064129957e-12,0,179,34.09375,4.20231790055e-09,1.51278215256,1.60001218319e-06,0.0123639850644,1.18464231491e-06,5153.6497345,432000,-2.49594449997e-07,-2.13857677859,4.842877388e-08,0.989378517552,374.25,0.938209219974,-8.2657014425e-09,2.96440919383e-11,1,2249,0,2,0,4.65661287308e-09,179,430242,4
2,432018,-0.000620353035629,2.6147972676e-12,0,4,26.71875,4.79377110838e-09,0.518212413147,1.25728547573e-06,0.0200138337677,1.11013650894e-06,5153.68468666,432000,-2.27242708206e-07,-2.23539701269,-1.97440385819e-07,0.967101081082,367.53125,-1.32633138106,-8.87215527517e-09,1.89293599124e-11,1,2249,0,2,0,-1.76951289177e-08,4,424818,4
3,432018,-0.000362215097994,4.77484718431e-12,0,176,-134.1875,4.05838333367e-09,0.364715164605,-7.03893601894e-06,0.00446744530927,5.72763383388e-06,5153.72531891,432000,-7.07805156708e-08,-1.10668257594,6.51925802231e-08,0.977392842895,277.84375,1.01512436455,-7.9753322046e-09,-2.05008539429e-10,1,2249,0,2,0,1.86264514923e-09,176,427963,4
4,432018,-2.59354710579e-05,8.18545231596e-12,0,55,-38.375,4.23446209663e-09,-2.99286494223,-1.95764005184e-06,0.00232090998907,1.07567757368e-05,5153.71403694,432000,1.30385160446e-08,-0.0255949894255,-5.21540641785e-08,0.962833071714,174.40625,-3.03836176326,-7.68031991615e-09,5.11092717635e-10,1,2249,0,2,0,-4.65661287308e-09,567,424818,4
5,432018,-0.00011618481949,-1.47792889038e-12,0,44,-146,4.23017620382e-09,-2.1900315383,-7.54743814468e-06,0.0057684793137,6.11878931522e-06,5153.61993408,432000,5.96046447754e-08,-1.15195511114,-3.91155481338e-08,0.964398860729,261.625,1.13209069075,-7.9503311632e-09,-1.77150236161e-10,1,2249,0,2,0,-1.11758708954e-08,44,429318,4
6,432018,0.000573204364628,4.32009983342e-12,0,84,18.25,4.08659879467e-09,1.75163245674,1.05611979961e-06,0.00290507893078,5.69969415665e-07,5153.61299706,432000,5.21540641785e-08,-2.14688280174,-5.40167093277e-08,0.988633792771,377.71875,-0.833883534414,-8.13855328913e-09,-3.42871424828e-11,1,2249,0,2,0,3.72529029846e-09,84,424850,4
7,432018,0.000239668413997,-7.04858393874e-12,0,164,15.59375,5.23378943691e-09,0.92113281569,9.22009348869e-07,0.0167402829975,6.30132853985e-06,5153.58109665,432000,-1.78813934326e-07,0.989913483287,1.35973095894e-07,0.950312532263,255.75,-2.22468167318,-8.5153546987e-09,2.25009372544e-11,1,2249,0,2,0,-1.11758708954e-08,164,424818,4
8,432018,-0.000108844134957,-1.81898940355e-12,0,8,127.84375,4.33589489314e-09,-2.53987320017,6.48945569992e-06,0.00833443482406,9.13813710213e-06,5153.66470909,432000,-1.30385160446e-07,3.05603570082,-1.67638063431e-07,0.960388450754,204.96875,0.215331638776,-7.8781853009e-09,2.14294640518e-11,1,2249,0,2,0,5.12227416039e-09,264,424818,4
9,432018,-0.000216875225306,7.04858393874e-12,0,81,-45.28125,4.40161191623e-09,-2.21352820288,-2.37859785557e-06,0.00248564954381,1.09206885099e-05,5153.67544365,432000,2.98023223877e-08,-0.0814622392178,1.67638063431e-08,0.956050436367,166.75,1.97165555091,-7.7978248107e-09,4.34303804782e-10,1,2249,0,2,0,1.39698386192e-09,81,428178,4
10,432018,-2.50125303865e-05,-1.5916157281e-12,0,19,-150.9375,4.05588322953e-09,-0.578559590621,-7.86781311035e-06,0.00846532685682,6.10575079918e-06,5153.69122505,432000,7.82310962677e-08,-1.10935417303,1.54599547386e-07,0.977146543081,269.78125,-2.44175708983,-8.05854995667e-09,-2.54653464482e-10,1,2249,0,2,0,2.32830643654e-09,19,427878,4
