X,Y,Z,lat,lon,h,E,N,U
-2698887.26619771,-4293215.37342245,3855504.23135186,37.4311265803924,-122.155114615425,12.0604664618149,3.83982833161262,2.06216339196997,-4.43953502570194
-2698884.14223967,-4293207.69897517,3855506.28409645,37.4311859545004,-122.155130881632,6.82851003296673,2.40015519194921,8.6518475753499,-9.67149630349412
-2698889.29264006,-4293211.7039998,3855504.7557839,37.4311414392084,-122.155156064503,10.7687608543783,0.171304509650661,3.71128157977598,-5.73124022962134
-2698881.58284494,-4293200.95894235,3855499.15549071,37.43117365989,-122.155146929339,-3.11715738289058,0.979825459445703,7.28730797573528,-19.6171616315308
-2698882.29737206,-4293203.74120767,3855499.17897856,37.4311588456014,-122.155137033643,-0.930445800535381,1.8556598175906,5.64313608749918,-17.4304485732821
-2698891.31410886,-4293212.75636023,3855508.9373532,37.431160586556,-122.155169072717,14.8721498064697,-0.980010315013405,5.83637155042563,-1.62785294581134
-2698895.28761252,-4293212.95602453,3855507.84437068,37.4311402594248,-122.155205880545,16.0213509099558,-4.23775397029635,3.58034622549813,-0.478651501889728
-2698895.87982575,-4293222.42289931,3855507.04279004,37.4310889059935,-122.155154618635,22.1488163480535,0.299274262607768,-2.11916980615682,5.64881598892125
-2698903.03612939,-4293228.55842016,3855509.34342404,37.4310560619956,-122.155186177562,30.6963666789234,-2.49391449421053,-5.76440525714612,14.1963635809587
-2698898.73315294,-4293217.11720268,3855507.35564878,37.4311074273413,-122.155213816511,19.9779430748895,-4.94014617112956,-0.0635556828299477,3.47794116551199
-2698908.83335184,-4293226.68701607,3855508.09354739,37.4310388991756,-122.155252883742,31.1286211628467,-8.39788791365191,-7.66923937269077,14.6286110177822
-2698893.22294262,-4293210.32924767,3855500.37265621,37.4311049972064,-122.155201926493,8.84148239623755,-3.88779089694218,-0.333266826043727,-7.65851879520619
-2698888.83445704,-4293220.68071886,3855499.52812294,37.4310637519657,-122.155097702514,13.4325850829482,5.33674100515974,-4.91090946104178,-3.06741904230599
-2698880.51103347,-4293207.2686181,3855495.72046409,37.4311229524883,-122.155098735159,-1.41609567962587,5.24532852867949,1.65951426248927,-17.9160980478247
-2698892.87888421,-4293214.48287926,3855495.64870475,37.4310529430493,-122.155173658541,8.61722987703979,-1.3858873699893,-6.11054452591591,-7.88277320769462
-2698898.15596329,-4293213.59638152,3855500.55769221,37.4310767954069,-122.155229467036,13.2351878238842,-6.32532143981039,-3.46326963899812,-3.26481624961772
-2698900.37050323,-4293207.56176783,3855498.38513924,37.4310827754345,-122.155286937909,8.79366642981768,-11.4118779750077,-2.79956310967258,-7.7063443817167
-2698904.45675364,-4293200.36007685,3855496.9339355,37.4310938722236,-122.155369330639,4.7970211468637,-18.704177925942,-1.5679619251884,-11.7030064364172
-2698907.15669057,-4293208.46296579,3855503.21623518,37.4310933834438,-122.155346431768,15.2039073836058,-16.6775017118509,-1.62221650543209,-1.29611459910017
-2698904.82770654,-4293204.36138778,3855500.48296884,37.4310996320952,-122.155348817925,9.80091819167137,-16.8886772611822,-0.928702436551163,-6.69910420669544
-2698900.75709954,-4293201.47852811,3855499.18772811,37.4311155953456,-122.155327216131,5.35523619223386,-14.9767586794967,0.84298920981361,-11.1447814237677
-2698899.61841804,-4293202.89371304,3855499.81360137,37.4311168308561,-122.155307814187,6.20581033080816,-13.2595585645777,0.980110588350726,-10.2942035090695
-2698898.28181227,-4293193.27564117,3855497.35873783,37.4311477557262,-122.155352865213,-2.31718008313328,-17.2468458481906,4.41233490915092,-18.817204901127
-2698902.16883824,-4293201.33869674,3855497.87468227,37.4311027343149,-122.155341560925,5.05978798493743,-16.2463709125277,-0.58440060205767,-11.4402327060544
-2698901.99584783,-4293197.99364792,3855504.13080344,37.4311635089687,-122.155360020955,6.54039069171995,-17.8801968107792,6.1607294690802,-9.95963732257045
-2698906.31967038,-4293207.62919753,3855518.94745765,37.4312122426384,-122.155343438973,23.8511955598369,-16.4126151021596,11.5695059647191,7.35116394584631
