X,Y,Z,lat,lon,h,E,N,U
-2698881.52492367,-4293208.72599681,3855532.47537552,37.4313762147611,-122.155099669939,22.3321284716949,-3.59955855902836,9.12469923940576,5.83212091313328
-2698878.41852055,-4293206.29574571,3855519.03606007,37.4313003809498,-122.155084569335,11.2169385515153,-2.26305362111787,0.708196014707957,-5.28306188729118
-2698871.88086395,-4293201.07192023,3855507.87715728,37.4312638159051,-122.155053445454,-1.84036733396351,0.491612948866252,-3.35000320544263,-18.3403682331941
-2698873.54253577,-4293205.03883425,3855517.36190851,37.4313084420413,-122.155045486139,7.29368564300239,1.19606428677067,1.60286261100008,-9.20631466998285
-2698870.16274184,-4293207.10433933,3855515.05942402,37.4312922425004,-122.155000736223,5.85444022901356,5.15672197345989,-0.195055985952431,-10.6455618523485
-2698872.07977458,-4293203.07742123,3855514.06295921,37.4312981960663,-122.155043288539,3.35174216516316,1.39056551900966,0.465703904702981,-13.1482580013921
-2698869.92881484,-4293203.53878598,3855516.19060032,37.4313175491243,-122.15501993916,4.04607007838786,3.45713546986651,2.61361944450522,-12.4539313927636
-2698862.51417915,-4293192.60897978,3855511.86757382,37.4313589051222,-122.15501473792,-9.0629620347172,3.91746846444603,7.20353391323067,-25.5629673147007
-2698877.58295497,-4293231.57131664,3855526.9648063,37.4312423567037,-122.154924588838,32.6752311130986,11.896317173136,-5.7316905536233,16.1752174520223
-2698872.28214971,-4293202.77118463,3855512.49145968,37.4312877822735,-122.155047065844,2.27622099965811,1.05624962203253,-0.690079170648725,-14.2237791230395
-2698871.12183985,-4293207.48286366,3855510.07365021,37.4312520197898,-122.155007634342,3.48384870775044,4.54619450377968,-4.65920611370827,-13.0161546162661
-2698868.52781499,-4293200.12140582,3855502.92067356,37.4312425330555,-122.155027087435,-6.90904247015715,2.82446513233155,-5.71209036462728,-23.409045658112
-2698873.40933843,-4293211.17224307,3855500.15513418,37.4311572817982,-122.155007330315,0.902332305908203,4.57310674010584,-15.1737719378614,-15.597687433906
-2698869.68839129,-4293213.73817722,3855499.5621235,37.4311519873215,-122.154956307937,0.694375660270452,9.088922996118,-15.7613792212107,-15.8056503385684
-2698868.59499343,-4293221.73436877,3855517.69891911,37.4312478658667,-122.154897766104,16.6316669099033,14.2702776910015,-5.12023223359046,0.131648906210269
-2698863.58321536,-4293203.47173239,3855505.41479458,37.4312592561961,-122.154959643283,-5.23042314033955,8.79370224993864,-3.85605906877183,-21.7304303618104
-2698860.60019576,-4293201.66537936,3855501.98045649,37.4312517535571,-122.154941971111,-9.79290322773159,10.3577956360704,-4.68873918677671,-26.2929133552568
-2698862.66515915,-4293210.24061052,3855502.04761468,37.431206456909,-122.154910158668,-3.11442798841745,13.1734193958719,-9.71601977213427,-19.6144489971296
-2698875.27976621,-4293214.54768466,3855515.95819082,37.4312492482177,-122.155004924577,13.5672868601978,4.78603405375387,-4.9668190186314,-2.93271687129344
-2698869.31657622,-4293213.29556436,3855504.97699943,37.4311938656664,-122.154955412866,3.53088364377618,9.16814163044272,-11.113484462075,-12.9691326467586
-2698869.84199947,-4293210.3749397,3855511.9854831,37.4312560199557,-122.15497800123,6.0492765493691,7.16891996924097,-4.21524435601833,-10.4507288700318
-2698873.68246533,-4293204.03243866,3855506.41435246,37.4312343725338,-122.155052876355,0.0222170380875468,0.541982194141704,-6.61779860784981,-16.477786427168
-2698868.64720428,-4293197.47153126,3855507.27554659,37.4312856294257,-122.155044163854,-5.99311053752899,1.31309280380845,-0.929013421097403,-22.4931107388612
-2698870.77035116,-4293205.14917872,3855507.53974739,37.431245734604,-122.155018305201,0.226284060627222,3.60175262336403,-5.35677023203093,-16.2737192092584
-2698870.61587887,-4293210.25340043,3855507.51699616,37.431222356682,-122.154986134639,3.57863903231919,6.4490605528554,-7.95138881415912,-12.9213691943181
-2698874.60017988,-4293208.50024987,3855511.0982705,37.4312444956304,-122.155034788688,6.26060813292861,2.14285953967605,-5.49428434883037,-10.239394597443
-2698877.06094907,-4293204.13846103,3855505.02269685,37.4312140768571,-122.155084555777,0.675452175550163,-2.26185246196988,-8.87032997565233,-15.824554409796
