X,Y,Z,lat,lon,h,E,N,U
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-2698852.72299252,-4293236.71912733,3855500.81512388,37.4311038503267,-122.154655835758,9.73575426265597,35.6827603910289,-21.1038584424206,-6.7643804454482
-2698851.92515235,-4293243.71259956,3855500.42816554,37.4310709823597,-122.154606151086,13.8649779846892,40.0802330976951,-24.7517357524895,-2.6351959612702
-2698861.33837561,-4293250.49952282,3855509.64541782,37.431078027445,-122.154655382622,28.0082134865224,35.7229805105089,-23.9699031556956,11.5080683968953
-2698867.13931696,-4293243.87126666,3855509.39819205,37.431090082565,-122.154750728328,25.8534604152665,27.2842004502228,-22.6319750573146,9.35336185822294
-2698863.18730979,-4293229.99408362,3855501.46078379,37.4311091507853,-122.154796371418,10.0294637996703,23.2444040249634,-20.5156271066572,-6.47061159504581
-2698866.75870043,-4293229.99442487,3855503.92277249,37.4311163550986,-122.154830531569,13.0354444263503,20.2210074768867,-19.7160670013572,-3.46461815005654
-2698870.04059358,-4293229.75195576,3855507.30267351,37.4311320964304,-122.154863382571,16.3137561436743,17.3134759797711,-17.9690158624722,-0.186292711146626
-2698874.02783931,-4293233.98040774,3855506.53267236,37.4310953611093,-122.154876096047,20.3735443102196,16.1882648784546,-22.0461394379109,3.87348557842122
-2698864.82735807,-4293229.86021495,3855506.1624131,37.4311386306787,-122.154812864312,13.4902657875791,21.7846747457554,-17.2437874864555,-3.00979474704105
-2698861.81514741,-4293224.09534176,3855500.30914602,37.4311322594059,-122.154818716287,4.78396751079708,21.2667081447685,-17.9508861737405,-11.71609323582
